# mangos-extractor vessel list: <mapId> <displayId> <goEntry>   # [how] name
#
# THE MAP ID IS THE IDENTITY. Every deck here is a pseudo-map the client already ships:
# an id and a directory, and NO TERRAIN AT ALL -- verified by listing the whole 30-archive
# chain of a 5.4.8 client, where "world\maps\Transport*" returns nothing and all 518
# transport-shaped entries are .wmo models. So the deck is baked from the hull model, and
# baked into the client's own map id rather than into one the server invents.
#
# WHY THIS FILE HAS TO EXIST. Three of the four links in the chain are in the client and
# one is not:
#
#     mapId          Map.dbc, 49 Transport* rows                     complete
#     entry          the directory "Transport<digits>"               38 of 49
#     displayId      gameobject_template.displayId                   SERVER DATA
#     model path     GameObjectDisplayInfo.dbc                       complete
#
# entry -> displayId is nowhere in the client: GameObjects.db2 (1780 rows, build 18273)
# holds no transport at all, TransportAnimation.dbc keys 113 lifts and platforms and none
# of these vessels, and TransportRotation.dbc likewise. Checked, not assumed.
#
# But the baker does not need the entry. It needs mapId -> displayId, and where the
# directory gives no entry the model can still be found by name in GameObjectDisplayInfo --
# ZANDALARI_BOAT_TRANSPORT for the Zandalari ship, nd_alliancegunship_icecrown for the ICC
# Skybreaker. Those lines are tagged [model] and carry no entry.
#
# NEVER BAKE A WRECK. The client ships _Sunken, _sunk, _capsized, _docked and _stationary
# variants of most hulls; they are scenery. Only the plain model is a deck.
#
# how: [dbc] directory carried the entry and the database has the row
#      [route] map named for its route; vessel matched to the route by hand
#      [model] no usable entry; hull identified by its model path

# mapId  display  entry     # [how] name
582     7087     176244    # [dbc] Rut'theran to Auberdine -- taxiPath 293; no `transports` row yet
584     3015     176231    # [dbc] Menethil to Theramore
586     7087     181646    # [route] Exodar to Auberdine (dir says 181645, DB has 181646)
587     7087     177233    # [dbc] Feathermoon Ferry -- taxiPath 777; no `transports` row yet
588     3015     176310    # [dbc] Menethil to Auberdine
589     3031     175080    # [dbc] Orgrimmar to Grom'Gol
590     3031     176495    # [dbc] Grom'Gol to Undercity
591     3031     164871    # [dbc] Undercity to Orgrimmar
593     3015     20808     # [dbc] Booty Bay to Ratchet
594     7570     187038    # [dbc] Howling Fjord Sister Mercy (quest)
596     7598     -         # [model] Naglfar -- Transport_Vrykul_Large.wmo; entry 187263 absent from gameobject_template
610     7546     181689    # [route] Tirisfal to Vengeance Landing
612     7446     181688    # [route] Menethil to Valgarde
613     7546     186238    # [route] Orgrimmar to Warsong Hold
614     7446     190536    # [route] Stormwind to Valiance Keep
620     7636     187568    # [route] Moa'ki to Unu'pe -- Walker of Waves
621     7636     188511    # [route] Moa'ki to Kamagua -- Green Island
622     8253     192241    # [dbc] Orgrim's Hammer
623     8254     192242    # [dbc] The Skybreaker
641     9002     195121    # [route] Alliance Airship BG -- nd_alliancegunship_bg.wmo
642     9001     195276    # [route] Horde Airship BG -- nd_hordegunship_bg.wmo
647     3031     190549    # [route] Orgrimmar to Thunder Bluff -- The Zephyr
662     9534     197195    # [dbc] Alliance Vashj'ir Ship
672     9150     201811    # [db] The Skybreaker (ICC Raid) -- the _10 entries are the raid pair; taxiPath 1819
673     9151     201812    # [db] Orgrim's Hammer (ICC Raid) -- taxiPath 1818
712     9150     201580    # [db] The Skybreaker (IC Dungeon) -- taxiPath 1814
713     9151     201581    # [db] Orgrim's Hammer (IC Dungeon) -- taxiPath 1816
718     7546     201834    # [dbc] The Mighty Wind (ICC Raid) -- taxiPath 1834; no `transports` row yet
738     9534     203466    # [route] Ship to Vashj'ir (Orgrimmar)
739     9583     203621    # [route] Vashj'ir Sub - Horde
740     9582     203620    # [route] Vashj'ir Sub - Alliance
742     10404    203729    # [dbc] Sub circling Abyssal Maw -- DBC says Horde, DB says Alliance
743     10308    203730    # [dbc] Sub circling Abyssal Maw -- DBC says Alliance, DB says Horde
747     8254     204018    # [route] Deepholm Gunship
748     10363    -         # [model] Onyxia/Nefarian Elevator -- BLACKWINGV2_ELEVATOR_ONYXIA_TRANSPORT.WMO
762     3031     206328    # [route] Twilight Highlands Zeppelin 1 -- Krazzworks to Dragonmaw
763     3031     206329    # [route] Twilight Highlands Zeppelin 2 -- Dragonmaw to Krazzworks
765     3031     207227    # [route] Krazzworks Attack Zeppelin
1133    13656    -         # [model] Zandalari Ship (Mogu Island) -- ZANDALARI_BOAT_TRANSPORT.WMO
1172    12843    -         # [model] Siege of Orgrimmar (Alliance) -- TRANSPORT_ALLIANCE_BATTLESHIP.WMO
1173    13737    -         # [model] Siege of Orgrimmar (Horde) -- TRANSPORT_HORDE_ZEPPELIN02.WMO

# STILL OPEN -- 8 maps. Each needs a decision, not a guess:
# 592   Borean Tundra Test -- a TEST map that parses out as entry 186238, which is really the Orgrimmar/Warsong Hold vessel on map 613. Not a vessel; do not bake.
# 674   Ship to Vashj'ir -- a quest/scenario map, NOT the ordinary route. Its directory
#       parses to entry 197349, which does not exist in gameobject_template at all: the
#       197xxx range stops at 197346. Nor do 197347/197348/197350, which maps 672, 673 and
#       713 parse to. The real Stormwind->Vashj'ir ships are 197195 (Alliance, map 662) and
#       203466 (Horde, map 738), both on model 9534. So the 197349 "collision" is not a
#       data conflict -- neither side has a vessel behind it.
# 741   Twilight Highlands Horde Transport -- zeppelin hull, but which of 3031/7546 and which vessel is not settled.
# 749   Gilneas Moving Gunship
# 750   Gilneas Static Gunship
# 766   Gilneas Moving Gunship 02 -- directory says 2033864, seven digits; the gameobject is six. A typo in the client.
# 767   Gilneas Moving Gunship 03 -- directory says 2033865, same typo.
# 1132  The Skybag (Brawl'gar Arena) -- MoP; no model named for it and no gameobject_template row.
